trade_date,open,close,high,low,volume
2025-07-04,44.49,44.73,44.99,44.26,208392574
2025-07-07,46.49,48.04,49.03,45.6,71238884
2025-07-08,45.41,46.08,47.01,44.9,211713799
2025-07-09,47.24,48.36,48.23,46.59,56691876
2025-07-10,48.85,49.82,51.04,47.74,295654895
2025-07-11,47.66,48.33,48.36,47.41,183241443
2025-07-14,51.37,54.4,53.76,49.89,154925294
2025-07-15,50.96,54.1,53.58,49.2,208054436
2025-07-16,52.2,52.54,52.84,51.92,70011940
2025-07-17,50.86,51.52,51.63,50.5,132219704
2025-07-18,52.04,53.23,53.11,51.55,197994667
2025-07-21,54.9,55.43,55.92,54.15,137571850
2025-07-22,57.2,59.59,59.6,55.68,264470151
2025-07-23,56.88,57.51,58.1,56.49,114654961
2025-07-24,54.97,57.2,58.11,52.38,232829465
2025-07-25,56.41,58.19,59.55,54.6,127001251
2025-07-28,59.01,60.68,60.38,58.12,144905332
2025-07-29,58.0,59.42,61.47,55.9,77213676
2025-07-30,58.07,60.0,60.47,56.21,75676904
2025-07-31,59.99,64.54,63.58,57.77,288587307
2025-08-01,58.78,61.2,61.49,56.86,127157649
2025-08-04,63.72,64.45,64.71,63.16,259515758
2025-08-05,65.54,66.29,67.06,64.63,259463018
2025-08-06,66.14,67.71,67.79,65.01,90607510
2025-08-07,66.22,68.46,68.67,64.34,59377759
2025-08-08,64.55,65.51,65.26,63.94,228203127
2025-08-11,66.27,67.47,67.12,65.56,71459364
2025-08-12,67.84,68.9,68.75,67.15,80771678
2025-08-13,68.4,71.11,70.96,67.22,159863650
2025-08-14,67.55,68.94,70.05,65.71,133106991
2025-08-15,72.52,74.98,75.6,70.79,89966255
2025-08-18,70.02,71.07,71.9,68.79,106694336
2025-08-19,69.73,72.83,72.63,68.46,268038143
2025-08-20,70.33,71.19,71.87,69.25,84835087
2025-08-21,76.0,79.11,78.93,74.29,252268187
2025-08-22,72.22,72.98,73.29,71.62,154050269
2025-08-25,77.28,78.93,80.65,74.27,159023070
2025-08-26,75.52,77.35,79.53,73.72,176807650
2025-08-27,76.64,78.64,78.47,75.82,155210866
2025-08-28,79.98,83.17,82.98,78.99,257949216
2025-08-29,81.29,83.77,85.87,77.59,188558318
2025-09-01,78.35,79.69,80.7,77.56,284185288
2025-09-02,79.28,82.07,83.18,77.04,300867818
2025-09-03,84.64,86.26,87.84,82.3,130000787
2025-09-04,85.1,88.6,88.42,83.03,73399910
2025-09-05,83.2,84.76,86.12,80.83,284705601
2025-09-08,81.64,83.21,83.21,80.61,106400967
2025-09-09,82.51,86.13,87.01,80.5,221270083
2025-09-10,85.15,89.25,88.49,83.1,108651357
2025-09-11,87.81,89.6,89.74,86.77,122063215
2025-09-12,85.65,88.25,89.73,84.25,309108860
2025-09-15,92.3,92.95,93.56,91.76,252818791
2025-09-16,92.11,94.34,97.08,89.52,275231674
2025-09-17,91.47,95.63,95.18,88.16,62028085
2025-09-18,92.54,95.53,94.85,90.93,86453563
2025-09-19,87.72,88.52,89.07,86.87,184089140
2025-09-22,92.81,93.94,94.68,91.54,162609843
2025-09-23,94.41,97.45,99.35,92.66,132884151
2025-09-24,88.02,90.59,92.29,85.1,246376351
2025-09-25,92.24,93.17,95.13,91.35,262183081
2025-09-26,95.03,98.54,98.57,92.19,94459500
2025-09-29,89.78,92.63,92.06,87.86,250366709
2025-09-30,95.62,96.36,97.58,94.74,227144573
2025-10-01,95.62,97.04,98.52,93.67,271748861
2025-10-02,95.56,102.88,101.18,91.14,71117541
2025-10-03,94.68,97.87,97.2,92.52,252457239
2025-10-06,95.31,96.35,97.53,93.59,250625049
2025-10-07,95.65,97.37,97.67,94.05,122764740
2025-10-08,95.14,95.98,97.17,94.5,128015500
2025-10-09,95.6,100.39,101.18,92.99,167840808
2025-10-10,96.38,98.16,99.93,93.32,289004028
2025-10-13,90.09,92.12,95.33,87.68,176704194
2025-10-14,94.0,96.03,96.41,92.4,143353360
2025-10-15,92.71,93.44,94.82,91.18,261843057
2025-10-16,92.24,96.7,96.48,89.08,151080976
2025-10-17,88.61,90.84,92.44,86.7,267050365
2025-10-20,92.71,94.25,95.03,91.58,146800599
2025-10-21,89.38,91.11,90.84,88.57,200638581
2025-10-22,93.54,96.52,97.35,91.71,60291676
2025-10-23,88.84,91.57,91.64,87.03,165515767
2025-10-24,89.71,91.89,91.57,88.63,230842047
2025-10-27,90.22,91.41,91.5,89.44,125370601
2025-10-28,94.9,97.47,99.41,91.72,111185216
2025-10-29,88.9,91.13,90.88,87.74,71746032
2025-10-30,91.65,94.97,95.45,90.07,179758354
2025-10-31,90.26,93.53,94.12,89.09,247670173
2025-11-03,88.87,91.9,91.65,87.74,177595843
2025-11-04,88.33,90.03,90.31,86.73,233898046
2025-11-05,92.72,99.75,98.23,89.1,296079747
2025-11-06,92.19,96.93,96.43,89.64,196247535
2025-11-07,94.13,96.63,98.57,91.53,122909096
2025-11-10,91.84,95.96,96.28,89.12,130252659
2025-11-11,87.64,88.86,89.77,86.65,177220403
2025-11-12,87.96,89.99,89.86,86.6,69621510
2025-11-13,89.78,91.45,93.11,87.95,158911505
2025-11-14,93.24,97.72,96.9,90.62,242934255
2025-11-17,89.06,89.97,89.98,88.59,232049370
2025-11-18,93.05,95.71,95.93,90.89,197059593
2025-11-19,87.66,88.28,89.5,86.63,129517679
2025-11-20,90.81,92.65,93.55,89.72,86935898
2025-11-21,90.27,91.12,91.29,89.72,58565052
2025-11-24,90.02,90.57,91.53,89.15,136380265
2025-11-25,86.83,88.55,89.12,85.1,226797198
2025-11-26,91.1,91.69,93.16,90.38,175735397
2025-11-27,92.16,95.02,94.69,90.41,205147396
2025-11-28,90.28,91.84,95.47,88.1,103605642
2025-12-01,85.46,87.47,89.18,83.09,231169030
2025-12-02,89.84,91.62,91.49,88.74,79610135
2025-12-03,90.07,91.61,95.32,88.16,145117612
2025-12-04,88.94,93.92,94.09,86.17,84077308
2025-12-05,88.9,92.22,92.58,87.57,265569108
2025-12-08,87.87,89.66,89.28,86.61,129027517
2025-12-09,86.54,88.14,89.01,85.05,251284416
2025-12-10,89.15,90.63,90.51,87.96,232220812
2025-12-11,88.22,92.02,91.02,86.14,120541763
2025-12-12,88.79,91.19,92.07,86.86,232413591
2025-12-15,84.66,86.68,89.11,81.11,285833807
2025-12-16,84.36,86.36,87.16,82.49,65002711
2025-12-17,88.41,90.05,90.1,87.69,129338513
2025-12-18,88.48,89.69,92.47,86.62,293596241
2025-12-19,82.89,86.87,86.7,80.63,231393408
2025-12-22,86.34,87.69,89.32,84.03,110608722
2025-12-23,86.52,88.27,88.71,85.1,175949755
2025-12-24,84.57,88.29,88.57,82.58,128820950
2025-12-25,83.26,83.77,84.59,82.71,169772388
2025-12-26,86.6,87.77,88.27,85.88,213685063
2025-12-29,87.64,88.86,90.82,86.15,104914714
2025-12-30,82.46,83.52,84.02,81.98,114809540
2025-12-31,87.36,88.92,90.65,85.0,265822378
2026-01-01,83.97,87.53,88.47,81.07,175127734
2026-01-02,81.78,82.71,82.81,80.89,227898374
2026-01-05,82.85,83.29,83.99,82.08,85310163
2026-01-06,83.8,84.88,85.91,81.91,228444320
2026-01-07,83.96,87.03,88.12,82.15,174804307
2026-01-08,82.74,85.92,87.13,78.82,220377170
2026-01-09,83.71,86.1,87.64,80.29,113875281
2026-01-12,83.65,84.16,85.14,83.05,55046127
2026-01-13,82.14,83.77,85.4,80.59,229373278
2026-01-14,83.67,87.21,86.41,81.72,241504207
2026-01-15,83.02,86.05,86.59,79.94,193125658
2026-01-16,83.04,85.05,87.64,79.38,106235236
2026-01-19,80.42,82.76,84.24,77.97,92633021
